product,avg_neg,avg_neu,avg_pos,avg_compound,review_count,positive_reviews,negative_reviews,neutral_reviews,overall_sentiment
Elizabeth Arden Ceramide Purifying Cream Cleanser 125 ml,0.0,0.857,0.143,0.4239,2,1,0,1,Positive
"Organic Shikakai Powder Natural Hair Cleanser and Conditioner, Non-GMO, Herbal Formula for Strong, Shiny Hair, 100g",0.0,0.716,0.284,0.8119,2,2,0,0,Positive
"Cetaphil Daily Exfoliating Cleanser 178ml, Gently removes dirt and impurities, Buffs Away Dry Dull Skin, For All Skin Types, Non-Irritating, Dermatologically Tested",0.0632,0.593,0.3438,0.3041,91,64,17,10,Positive
CeraVe Hydrating Cleanser Face Wash For Normal to Dry Skin | Hyaluronic Acid + 3 Essential Ceramides | Cleanses and Hydrates without Disrupting Natural Skin Barrier of the Face and Body | 473ml,0.0235,0.6716,0.3048,0.5636,100,89,2,9,Positive
"CeraVe Foaming Cleanser Gel Face Wash For Normal to Oily Skin, Removes Oil without Disrupting the Protective Skin Barrier, For Face + Body, Niacinamide + Ceramides, Fragrance Free, Oil Control, 236ml",0.0275,0.6601,0.3124,0.5749,100,88,4,8,Positive
Beauty of Joseon Green Plum Refreshing Cleanser,0.028,0.6476,0.3143,0.5797,99,83,7,9,Positive
"NATUREONE BHA Acne Foam Cleansing, Acne Face Wash, Salicylic Acid for Acne Prone Skin, Exfoliator, Sebum, Blackhead Remover and Dead Cells, Foaming Pore Cleanser, Korean Skincare, 100ml, 3.38 fl.oz.",0.0268,0.6927,0.2806,0.7999,24,23,0,1,Positive
"COSRX Low pH Good Morning Gel Cleanser 150ml, Daily Mild Face Cleanser for Sensitive Skin with BHA & Tea Tree Oil, PH Balancing, No Parabens, No Sulfates, Korean Skincare",0.0479,0.6716,0.2603,0.4887,99,77,11,11,Positive
"ANUA Heartleaf Quercetinol Pore Deep Cleansing Foam, Facial Cleanser, for Double Cleansing, BHA, Hyaluronic Acid, Glycerin, Face Wash, Blackhead Remover, Korean Skincare, 150ml/5.07 fl.oz.",0.0296,0.6538,0.2965,0.5294,100,80,12,8,Positive
"Cetaphil Gentle Skin Cleanser 1000ml, Face & Body, Suitable for All Skin Types, pH balanced, Soap and Fragrance Free, Contains Niacinamide, Dermatologically Tested.",0.0391,0.6357,0.3253,0.4401,100,77,12,11,Positive
Round Lab 1025 Dokdo Cleanser 150ml,0.0378,0.7079,0.2443,0.5903,100,83,7,10,Positive
"COSRX Salicylic Acid Daily Gentle Cleanser, 150ml, Pack of 1",0.0414,0.6861,0.2625,0.4826,99,83,11,5,Positive
"La Roche Posay Anti-Acne Cleanser, Purifying Foaming Gel, Cleanser For Oily Skin, Soap-Free and Paraben-Free, Effaclar, 200ml",0.0296,0.6399,0.3305,0.5141,100,83,9,8,Positive
"Paula's Choice CLEAR Pore Normalizing Cleanser, Salicylic Acid Face Wash for Blemishes, Blackheads, Large Pores & Redness, 177 mL",0.0492,0.7418,0.2091,0.4305,99,73,16,10,Positive
"CeraVe Blemish Control Cleanser Gel Face Wash For Blackheads, Blocked Pores & Acne-prone Skin, 2% Salicylic Acid + Niacinamide + Purifying Clay + Ceramides, Lightweight + Oil-Absorbing, 236ml",0.0294,0.6583,0.298,0.6106,70,60,4,6,Positive
"Sukin Foaming Facial Cleanser, Signature, 125 ml",0.0427,0.6949,0.2623,0.5519,100,87,7,6,Positive
"CeraVe SA Smoothing Cleanser Face Wash For Dry, Rough, Bumpy Skin, Salicylic Acid + Hyaluronic Acid + Ceramides, Exfoliates Face without Disrupting the Protective Skin Barrier, Fragrance Free, 236ml",0.0253,0.505,0.4697,0.4008,9,8,1,0,Positive
"Thayers pH Balancing Daily Cleanser, Face Wash with Aloe Vera, Gentle and Hydrating Skin Care for Dry, Oily, or Acne Prone Skin, 8 FL Oz.",0.0462,0.6482,0.3056,0.6511,100,92,7,1,Positive
THEFACESHOP Rice Water Bright Foam Cleanser 150ml,0.0239,0.6831,0.2729,0.5973,100,85,9,6,Positive
